Produit,UCS,DemandeS23,DemandeS25,DemandeS27,DemandeS29
YA0035,136,32572000,33847000,23885000,26826000
YA0050,92,2346000,3473000,2173500,1805500
YA0075,59,918000,1445000,1640500,1657500
YA0100,48.5,371000,602000,231000,497000
YA0150,34.5,611100,518950,421950,683850
YA0250,20,63000,113400,37800,40950
YB0035,136,255000,85000,85000,0
YB0050,80,11201000,11833500,9740500,12845500
YB0075,59,1275000,1028500,1232500,1513000
YB0100,48.5,2856000,2730000,2156000,3255000
YB0150,34.5,1940000,2138850,1425900,2066100
YB0250,22.3,3710700,3373650,2844450,3622500
YB0400,12.5,1096200,811800,711000,761400
YB0600,8.3,257850,222750,164700,230850
FC2A0200,22.5,54400,19200,41600,0
IR0035,132,2772000,2954000,1386000,1960000
IR0050,90,1790000,2060000,180000,630000
IR0075,59,1198500,1530000,799000,1164500
IR0100,48.5,6500,19500,19500,13000
IR0200,23,140800,243200,38400,121600
IR0250,19,63000,59850,31500,50400
IR0300,13.8,27600,36800,32200,39100
IR0400,12.6,120600,91800,12600,10800
IR0500,9,0,6000,4500,0
IR0700,7,1600,2400,2400,0
A3ZP0035,132,4828000,5780000,5780000,0
